,_id,game_title,sub_title,game_system,genre,now_playing,game_status,game_hours,game_minutes,playtime_calc,add_date,start_date,beat_date,complete_date,game_notes
333,G0334,Gunbound Revolution,,PC,Turn-based strategy,N,Infinite,,,,2013-07-10 16:00:00,,,,
334,G0335,Kart Rider,,PC,Racing,N,Infinite,,,,2013-07-10 16:00:00,,,,
335,G0336,Stepmania,,PC,Rhythm,N,Infinite,,,,2013-07-10 16:00:00,,,,
336,G0337,Virtual Pool 2,,PC,Sports,N,Infinite,,,,2013-07-10 16:00:00,,,,
337,G0338,Assassin's Creed II,,360,Stealth,N,Beaten,10.0,37.0,Actual,2013-07-16 16:00:00,2013-08-15 16:00:00,2013-11-04 16:00:00,,"AC3 is better, but this was a fantastic game as well. ^_^"
338,G0339,Sonic Generations,,360,Platformer,N,Beaten,5.0,30.0,Actual,2013-07-26 16:00:00,2013-08-01 16:00:00,2013-08-02 16:00:00,,"Fun stuff! Gonna work on completion soon. Typical Sonic game. Pretty easy to learn, hard to master. This one''s a bit generous in terms of difficulty, but extremely fun and something I look forward to playing again."
339,G0340,Crackdown,,360,TPS,N,Beaten,,,,2013-08-02 16:00:00,2013-08-31 16:00:00,2013-08-31 16:00:00,,"Thanks for the help Alex! Pretty fun game, if not a bit frustrating at times."
340,G0341,Super Meat Boy,,Steam,Platformer,N,Completed,,,,2013-08-04 16:00:00,2013-08-05 16:00:00,2013-08-05 16:00:00,2014-04-27 16:00:00,
341,G0342,DOTA 2,,Steam,MOBA,N,Infinite,,,,2013-08-14 16:00:00,,,,
342,G0343,Burnout Paradise: The Ultimate Box,,Steam,Racing,N,Beaten,,,,2013-08-15 16:00:00,2013-08-17 16:00:00,2013-09-08 16:00:00,,
343,G0344,Medal of Honor,,Steam,FPS,N,Beaten,,,,2013-08-15 16:00:00,2013-09-22 16:00:00,2013-09-24 16:00:00,,
344,G0345,Mirror's Edge,,Steam,Platformer,N,Beaten,,,,2013-08-15 16:00:00,2013-09-24 16:00:00,2013-10-05 16:00:00,,
345,G0346,Pokemon White,,NDS,RPG,N,Beaten,45.0,11.0,Actual,2013-08-23 16:00:00,2013-09-03 16:00:00,2013-09-18 16:00:00,,
346,G0347,PAC-MAN Championship Edition DX+,,Steam,Maze,N,Completed,,,,2013-09-20 16:00:00,2013-09-25 16:00:00,2013-09-25 16:00:00,2013-09-27 16:00:00,
347,G0348,Dance Dance Revolution Extreme,,PS2,Rhythm,N,Completed,,,,2013-09-23 16:00:00,2013-09-27 16:00:00,2013-09-27 16:00:00,2013-10-01 16:00:00,
348,G0349,Pokemon Y,,3DS,RPG,N,Beaten,158.0,36.0,Actual,2013-10-01 16:00:00,2013-10-12 16:00:00,2013-10-14 16:00:00,,"Inspired by the World Championships...28/50 in a row is my best so far. Kalos Champion in 31:21! Honestly, I never thought I''d play a game like Silver again. That perfect, polished feeling. The level curve could have been more challenging, but in the end, the multiplayer additions more than make up for it."
349,G0350,Flower Town,,3DS,Simulation,N,Completed,,,,2013-11-01 16:00:00,2013-11-13 16:00:00,2013-11-13 16:00:00,2014-01-15 16:00:00,Missing about 100 colors. All plants. My 2nd favorite streetpass game. Fun!
350,G0351,The Legend of Zelda: A Link Between Worlds,,3DS,Action-adventure,N,Beaten,16.0,17.0,Actual,2013-11-18 16:00:00,2013-11-24 16:00:00,2013-11-28 16:00:00,,"Going for completion on Hero Mode. Awesome, awesome game. Hero Mode should make it a lot more challenging!"
351,G0352,Pinball FX2,Epic Quest Table,Steam,Pinball,N,Beaten,,,,2013-11-24 16:00:00,2013-11-24 16:00:00,2013-11-24 16:00:00,,
352,G0353,Pinball FX2,Marvel Pinball: Avengers Chronicles Pack,Steam,Pinball,N,Beaten,,,,2013-11-24 16:00:00,2013-11-24 16:00:00,2013-11-24 16:00:00,,
353,G0354,Pinball FX2,Marvel Pinball: Original Pack,Steam,Pinball,N,Beaten,,,,2013-11-24 16:00:00,2013-11-24 16:00:00,2013-11-24 16:00:00,,
354,G0355,Pinball FX2,Star Wars Pack,Steam,Pinball,N,Beaten,,,,2013-11-24 16:00:00,2013-11-24 16:00:00,2013-11-24 16:00:00,,
355,G0356,Dark Souls: Prepare to Die Edition,,Steam,Action RPG,N,Beaten,,,,2013-11-28 16:00:00,2013-11-28 16:00:00,2013-12-08 16:00:00,,
356,G0357,Fire Emblem: Awakening,,3DS,Turn-based tactics,N,Beaten,33.0,34.0,Actual,2013-11-29 16:00:00,2014-06-17 16:00:00,2014-06-17 16:00:00,,Finished the game on Classic Hard.
357,G0358,Dust: An Elysian Tail,,Steam,Action RPG,N,Beaten,,,,2013-12-02 16:00:00,2014-04-12 16:00:00,2014-04-15 16:00:00,,
