,StatID,Assists,BlockedShots,DefensiveRebounds,FantasyPoints,FantasyPointsDraftKings,FantasyPointsFanDuel,FieldGoalsAttempted,FieldGoalsMade,FieldGoalsPercentage,FreeThrowsAttempted,FreeThrowsMade,FreeThrowsPercentage,Games,Minutes,Name,OffensiveRebounds,PersonalFouls,PlayerID,Points,Position,Rebounds,Season,SeasonType,Steals,Team,TeamID,ThreePointersAttempted,ThreePointersMade,ThreePointersPercentage,Turnovers,TwoPointersAttempted,TwoPointersMade,TwoPointersPercentage,ft_chance,three_chance,two_attempt_chance,two_chance
79,563532,1,1,17,46.5,49.75,46.5,16,5,31.2,6,3,50.0,13,50,Conner George,8,6,60000117,15,G,25,2020,1,0,MST,97,7,2,28.6,2,9,3,33.3,0.5,0.2857142985,0.5625,0.3333333433
80,553899,47,3,94,631.1,707.75,631.1,380,133,35.0,83,64,77.1,33,1013,Ty Taylor II,29,61,60000387,404,G,123,2020,1,35,EKENT,237,226,74,32.7,67,154,59,38.3,0.7710843086,0.3274336159,0.4052631557,0.3831168711
81,553594,30,15,140,616.8,667.75,616.8,245,127,51.8,81,52,64.2,31,830,Tulio Da Silva,79,64,60000561,308,F,219,2020,1,20,MSRST,208,16,2,12.5,69,229,125,54.6,0.6419752836,0.125,0.9346938729,0.5458515286
82,562367,24,12,70,351.4,372.75,351.4,131,66,50.4,40,23,57.5,32,510,Corey Brown,37,54,60000607,155,F,107,2020,1,20,CANS,172,7,0,0.0,32,124,66,53.2,0.5749999881,0.0,0.9465649128,0.5322580934
83,571904,4,0,4,23.8,25.5,23.8,6,4,66.7,0,0,0.0,14,27,Christian Wilson,0,3,60000528,11,G,4,2020,1,1,DAY,44,5,3,60.0,0,1,1,100.0,0.0,0.6000000238,0.1666666716,1.0
84,557056,104,8,85,502.2,548.25,502.2,152,51,33.6,35,26,74.3,31,846,Rex Pflueger,26,56,60001620,160,G,111,2020,1,43,ND,25,96,32,33.3,49,56,19,33.9,0.7428571582,0.3333333433,0.3684210479,0.3392857015
85,572723,11,15,96,317.5,336.25,317.5,62,39,62.9,50,25,50.0,27,394,Jayce Johnson,59,68,60001361,103,C,155,2020,1,2,MARQ,65,0,0,0.0,22,62,39,62.9,0.5,0.0,1.0,0.6290322542
86,555334,13,6,47,174.1,194.0,174.1,65,23,35.4,31,18,58.1,24,326,D'Andre Bernard,21,35,60001525,74,F,68,2020,1,5,LAMON,326,27,10,37.0,23,38,13,34.2,0.580645144,0.3703703582,0.5846154094,0.3421052694
87,606483,3,1,18,51.7,59.25,51.7,18,11,61.1,10,5,50.0,15,105,Nolan Narain,3,18,60001396,28,F,21,2020,1,2,SDST,212,3,1,33.3,12,15,10,66.7,0.5,0.3333333433,0.8333333135,0.6666666865
88,555487,3,0,2,6.9,9.0,6.9,9,1,11.1,0,0,0.0,2,31,Harris Brown,0,1,60001256,2,G,2,2020,1,1,CENST,444,5,0,0.0,4,4,1,25.0,0.0,0.0,0.4444444478,0.25
89,553456,36,3,90,338.0,371.75,338.0,147,48,32.7,18,13,72.2,30,703,Brandon Miller,15,50,60001365,134,G,105,2020,1,25,ALAAM,309,87,25,28.7,32,60,23,38.3,0.722222209,0.287356317,0.4081632793,0.3833333254
